Tipo,Designacion,d,bf,tf,hw,tw,r2,bf/tf,hw/tw,Ag,Peso,Ix,Sx,rx,Qx,Zx,Iy,Sy,ry,Qy,1.5Sy,Zy,ey,ec,w1,d1,w4,t1,t2,J,Cw,X1,X2,xp
UPN,30x15,30.00,15.00,4.50,12.00,4.00,2.00,3.33,3.00,2.21,1.74,2.53,1.69,1.07,-,-,0.38,0.39,0.42,-,-,-,0.52,0.74,10.00,6.40,5.00,3.90,5.10,0.14,,,,
UPN,30,30.00,33.00,7.00,1.00,5.00,3.50,4.71,0.20,5.44,4.27,6.39,4.26,1.08,-,-,5.33,2.68,0.99,-,-,-,1.31,2.22,18.00,8.40,15.00,5.68,8.32,0.82,,,,
UPN,40x20,40.00,20.00,5.50,18.00,5.00,2.50,3.64,3.60,3.66,2.87,7.58,3.79,1.44,-,-,1.14,0.86,0.56,-,-,-,0.67,1.01,11.00,6.40,9.00,4.70,6.30,0.34,,,,
UPN,40,40.00,35.00,7.00,11.00,5.00,3.50,5.00,2.20,6.21,4.87,14.10,7.05,1.50,-,-,6.68,3.08,1.04,-,-,-,1.33,2.32,18.00,11.00,17.00,5.60,8.40,0.91,,,,
UPN,50x25,50.00,25.00,6.00,25.00,5.00,3.00,4.17,5.00,4.92,3.86,16.80,6.73,1.85,-,-,2.49,1.48,0.71,-,-,-,0.81,1.34,16.00,8.40,9.00,5.00,7.00,0.52,,,,
UPN,50,50.00,38.00,7.00,20.00,5.00,3.50,5.43,4.00,7.12,5.59,26.40,10.60,1.92,-,-,3.12,3.75,1.13,-,-,-,1.37,2.47,20.00,11.00,18.00,5.48,8.52,1.02,,,,
UPN,60,60.00,30.00,6.00,35.00,6.00,3.00,5.00,5.83,6.46,5.07,31.60,10.50,2.21,-,-,4.51,2.16,0.84,-,-,-,0.91,1.50,18.00,8.40,12.00,4.80,7.20,0.78,,,,
UPN,65,65.00,42.00,7.50,33.00,5.50,4.00,5.60,6.00,9.03,7.09,57.50,17.70,2.52,-,-,14.10,5.07,1.25,-,-,-,1.42,2.60,25.00,11.00,17.00,5.82,9.18,1.46,,,,
UPN,80,80.00,45.00,8.00,46.00,6.00,4.00,5.63,7.67,11.00,8.64,106.00,26.50,3.10,15.90,31.80,19.40,6.36,1.33,6.35,9.54,12.08,1.45,2.67,25.00,13.00,20.00,6.20,9.80,2.00,196.54,48818.00,0.12,
UPN,100,100.00,50.00,8.50,64.00,6.00,4.50,5.88,10.70,13.50,10.60,206.00,41.20,3.91,24.50,49.00,29.30,8.49,1.47,8.59,12.70,16.21,1.55,2.93,30.00,13.00,20.00,6.50,10.50,2.64,481.65,40033.00,0.27,
UPN,120,120.00,55.00,9.00,82.00,7.00,4.50,6.11,11.70,17.00,13.40,364.00,60.70,4.62,36.30,72.60,43.20,11.10,1.59,11.61,16.70,21.27,1.60,3.03,30.00,17.00,25.00,6.80,11.20,3.84,1039.20,36738.00,0.40,
UPN,140,140.00,60.00,10.00,98.00,7.00,5.00,6.00,14.00,20.40,16.00,605.00,86.40,5.45,51.40,103.00,62.70,14.80,1.75,15.36,22.20,28.32,1.75,3.37,35.00,17.00,25.00,7.60,12.40,5.37,2073.50,33445.00,0.57,
UPN,160,160.00,65.00,10.50,115.00,7.50,5.50,6.19,15.30,24.00,18.80,925.00,116.00,6.21,68.80,138.00,85.30,18.30,1.89,19.37,27.50,35.20,1.84,3.56,35.00,21.00,30.00,7.90,13.10,6.97,3750.30,30779.00,0.82,
UPN,180,180.00,70.00,11.00,133.00,8.00,5.50,6.36,16.60,28.00,22.00,1350.00,150.00,6.95,89.60,179.00,114.00,22.40,2.02,24.04,33.60,43.14,1.92,3.75,40.00,21.00,30.00,8.20,13.80,8.91,6383.50,29063.00,1.07,
UPN,200,200.00,75.00,11.50,151.00,8.50,6.00,6.52,17.80,32.20,25.30,1910.00,191.00,7.70,114.00,228.00,148.00,27.00,2.14,29.41,40.50,51.89,2.01,3.94,40.00,23.00,35.00,8.50,14.30,11.23,10429.00,27479.00,1.37,
UPN,220,220.00,80.00,12.50,167.00,9.00,6.50,6.40,18.60,37.40,29.40,2690.00,245.00,8.48,146.00,292.00,197.00,33.60,2.30,36.38,50.40,64.40,2.14,4.20,45.00,23.00,35.00,9.30,15.70,15.16,16737.00,26823.00,1.49,
UPN,240,240.00,85.00,13.00,184.00,9.50,6.50,6.54,19.40,42.30,33.20,3600.00,300.00,9.22,179.00,358.00,248.00,39.60,2.42,43.30,59.40,76.02,2.23,4.39,45.00,25.00,40.00,9.60,16.40,18.57,25390.00,25785.00,1.79,
UPN,260,260.00,90.00,14.00,200.00,10.00,7.00,6.43,20.00,48.30,37.90,4820.00,371.00,9.99,221.00,442.00,317.00,47.70,2.56,52.38,71.60,92.22,2.36,4.66,50.00,25.00,40.00,10.40,17.60,24.20,38133.00,25436.00,1.90,
UPN,280,280.00,95.00,15.00,216.00,10.00,7.50,6.33,21.60,53.30,41.80,6280.00,448.00,10.90,266.00,532.00,399.00,57.20,2.74,62.03,85.80,109.90,2.53,5.02,50.00,25.00,45.00,11.20,18.80,29.71,55532.00,24518.00,2.12,
UPN,300,300.00,100.00,16.00,232.00,10.00,8.00,6.25,23.20,58.80,46.20,8030.00,535.00,11.70,316.00,632.00,495.00,67.80,2.90,72.71,102.00,130.00,2.70,5.41,55.00,25.00,45.00,12.00,20.00,36.24,78829.00,23817.00,2.33,
UPN,320,320.00,100.00,17.50,246.00,14.00,8.75,5.71,17.60,75.80,59.50,10870.00,679.00,12.10,413.00,826.00,597.00,80.60,2.81,91.63,121.00,158.90,2.60,4.82,55.00,25.00,45.00,15.35,20.35,61.80,104418.00,27823.00,1.42,
UPN,350,350.00,100.00,16.00,282.00,14.00,8.00,6.25,20.10,77.30,60.60,12840.00,734.00,12.90,459.00,918.00,570.00,75.00,2.72,88.72,113.00,149.60,2.40,4.45,55.00,25.00,45.00,13.85,18.85,56.39,123305.00,24829.00,2.46,
UPN,380,380.00,102.00,16.00,313.00,13.50,8.00,6.38,23.20,80.40,63.10,15760.00,829.00,14.00,507.00,1014.00,615.00,78.70,2.77,93.75,118.00,156.80,2.38,4.58,60.00,25.00,42.00,13.79,18.89,56.39,158663.00,22420.00,3.74,
UPN,400,400.00,110.00,18.00,324.00,14.00,9.00,6.11,23.10,91.50,71.80,20350.00,1020.00,14.90,618.00,1236.00,846.00,102.00,3.04,119.20,153.00,202.30,2.65,5.11,60.00,25.00,50.00,15.60,21.10,76.06,239940.00,22576.00,3.42,
C,15x50,381.00,94.40,16.50,308.00,18.20,,2.86,16.90,94.80,74.40,16816.00,882.00,13.31,559.00,1118.00,458.00,62.00,2.20,67.00,93.00,134.00,2.03,1.48,,,,,,111.00,132120.00,32143.00,1.22,1.24
C,15x40,381.00,89.40,16.50,308.00,13.20,,2.71,23.30,76.10,59.50,14526.00,762.00,13.82,469.00,937.00,384.00,55.00,2.25,56.00,83.00,113.00,1.97,1.95,,,,,,60.80,110368.00,24639.00,3.03,0.99
C,"15x33,9",381.00,86.40,16.50,308.00,10.20,,2.62,30.30,64.30,50.40,13111.00,688.00,14.27,413.00,826.00,338.00,51.00,2.30,51.00,76.00,102.00,2.00,2.28,,,,,,42.50,96136.00,20948.00,5.01,0.84
C,12x30,305.00,80.50,12.70,248.00,13.00,,3.16,19.10,56.90,44.60,6743.00,442.00,10.90,275.00,551.00,214.00,34.00,1.94,35.00,51.00,71.00,1.71,1.57,,,,,,36.20,40549.00,28320.00,1.90,0.93
C,12x25,305.00,77.40,12.70,248.00,9.80,,3.04,25.20,47.40,37.20,5994.00,395.00,11.25,239.00,479.00,186.00,31.00,1.98,31.00,46.00,63.00,1.71,1.89,,,,,,22.50,34910.00,22818.00,3.89,0.77
C,"12x20,7",305.00,74.70,12.70,248.00,7.20,,2.94,34.60,39.30,30.80,5369.00,352.00,11.71,208.00,416.00,161.00,28.00,2.03,29.00,43.00,57.00,1.77,2.21,,,,,,15.40,30076.00,19272.00,6.54,0.64
C,10x30,254.00,77.00,11.10,203.00,17.10,,3.48,11.90,56.90,44.60,4287.00,339.00,8.69,218.00,436.00,164.00,27.00,1.70,31.00,41.00,62.00,1.65,0.94,,,,,,51.20,21295.00,43921.00,0.38,1.12
C,10x25,254.00,73.30,11.10,203.00,13.40,,3.31,15.20,47.40,37.20,3796.00,298.00,8.94,188.00,377.00,140.00,24.00,1.72,26.00,36.00,52.00,1.57,1.25,,,,,,28.70,18368.00,34155.00,0.95,0.93
C,10x20,254.00,69.60,11.10,203.00,9.60,,3.14,21.10,37.90,29.80,3284.00,259.00,9.30,158.00,316.00,117.00,22.00,1.76,22.00,32.00,44.00,1.54,1.62,,,,,,15.40,15280.00,25769.00,2.48,0.74
C,"10x15,3",254.00,66.00,11.10,203.00,6.10,,2.98,33.30,29.00,22.80,2805.00,221.00,9.83,129.00,259.00,95.00,19.00,1.81,19.00,29.00,39.00,1.61,2.02,,,,,,8.74,12245.00,19854.00,5.55,0.57
C,9x20,229.00,67.30,10.50,109.00,11.40,,3.21,9.58,37.90,29.80,2535.00,221.00,8.18,138.00,275.00,101.00,19.00,1.63,20.00,29.00,40.00,1.48,1.31,,,,,,17.90,10580.00,32512.00,1.08,0.83
C,9x15,229.00,63.10,10.50,109.00,7.20,,3.01,15.10,28.50,22.30,2123.00,185.00,8.64,111.00,221.00,80.00,17.00,1.68,17.00,25.00,34.00,1.49,1.73,,,,,,8.74,8325.00,23508.00,3.12,0.62
C,"9x13,4",229.00,61.80,10.50,109.00,5.90,,2.95,18.40,25.40,19.90,1994.00,174.00,8.84,102.00,205.00,73.00,16.00,1.70,16.00,24.00,32.00,1.53,1.89,,,,,,7.08,7573.00,21312.00,4.18,0.55
C,"8x18,75",203.00,64.20,9.91,156.00,12.40,,3.24,12.60,35.50,27.90,1831.00,180.00,7.16,113.00,226.00,82.00,17.00,1.52,18.00,25.00,36.00,1.44,1.09,,,,,,18.30,6740.00,39072.00,0.53,0.87
C,"8x13,75",203.00,59.50,9.91,156.00,7.70,,3.00,20.20,26.10,20.50,1503.00,148.00,7.59,89.00,179.00,64.00,14.00,1.56,14.00,21.00,28.00,1.40,1.53,,,,,,7.91,5156.00,26782.00,1.90,0.64
C,"8x11,5",203.00,57.40,9.91,156.00,5.60,,2.90,27.80,21.80,17.10,1357.00,133.00,7.90,78.00,156.00,55.00,13.00,1.59,13.00,19.00,26.00,1.45,1.77,,,,,,5.41,4431.00,22478.00,3.29,0.53
C,"7x12,25",178.00,55.70,9.30,133.00,7.98,,3.00,16.70,23.20,18.20,1007.00,114.00,6.60,69.00,138.00,49.00,12.00,1.45,12.00,17.00,23.00,1.33,1.37,,,,,,6.66,3008.00,30230.00,1.21,0.65
C,"7x9,8",178.00,53.10,9.30,133.00,5.30,,2.86,25.00,18.50,14.60,887.00,100.00,6.91,58.00,117.00,40.00,10.00,1.48,10.00,15.00,21.00,1.37,1.64,,,,,,4.16,2465.00,24322.00,2.35,0.52
C,6x13,152.00,54.80,8.71,111.00,11.10,,3.14,10.00,24.70,19.30,724.00,95.00,5.41,59.00,119.00,44.00,11.00,1.33,11.00,16.00,22.00,1.31,0.97,,,,,,9.99,1939.00,45628.00,0.27,0.81
C,"6x10,5",152.00,51.70,8.71,111.00,8.00,,2.97,13.90,19.90,15.60,633.00,83.00,5.64,50.00,101.00,36.00,9.00,1.34,9.00,14.00,19.00,1.27,1.23,,,,,,5.41,1598.00,34575.00,0.70,0.65
C,"6x8,2",152.00,48.80,8.71,111.00,5.08,,2.80,21.90,15.50,12.20,545.00,72.00,5.94,42.00,84.00,29.00,8.00,1.36,8.00,12.00,16.00,1.30,1.52,,,,,,3.33,1267.00,27614.00,1.37,0.50
C,5X9,127.00,47.90,8.13,88.90,8.30,,2.95,10.80,17.00,13.40,370.00,58.00,4.65,36.00,71.00,26.00,7.00,1.24,8.00,11.00,15.00,1.21,1.08,,,,,,4.58,787.00,41784.00,0.33,0.67
C,"5x6,7",127.00,44.50,8.13,88.90,4.83,,2.73,18.40,12.70,10.00,312.00,49.00,4.95,29.00,58.00,20.00,6.00,1.25,6.00,9.30,13.00,1.23,1.40,,,,,,2.50,596.00,31633.00,0.78,0.55
C,"4x7,25",102.00,43.70,7.52,66.70,8.15,,2.91,8.18,13.70,10.80,191.00,38.00,3.73,23.00,46.00,18.00,6.00,1.14,6.00,8.40,11.00,1.17,0.98,,,,,,3.33,333.00,49757.00,0.16,0.67
C,"4x5,4",102.00,40.20,7.52,66.70,4.67,,2.68,14.30,10.30,8.04,160.00,32.00,3.96,19.00,37.00,13.00,5.00,1.14,5.00,7.00,9.00,1.16,1.28,,,,,,1.66,247.00,36069.00,0.45,0.61
C,3x6,76.20,40.50,6.93,41.90,9.04,,2.92,4.63,11.40,8.93,86.00,23.00,2.74,14.00,28.00,13.00,4.00,1.06,4.00,6.60,9.00,1.16,0.82,,,,,,2.91,124.00,70208.00,0.04,0.74
C,3x5,76.20,38.00,6.93,41.90,6.55,,2.74,6.39,9.48,7.44,77.00,20.00,2.84,12.00,25.00,10.00,4.00,1.04,4.00,5.70,8.00,1.11,1.00,,,,,,1.66,102.00,53979.00,0.10,0.61
C,"3x4,1",76.20,35.80,6.93,41.90,4.32,,2.58,9.70,7.81,6.10,69.00,18.00,2.97,11.00,21.00,8.00,3.00,1.03,3.00,5.00,7.00,1.11,1.17,,,,,,1.25,83.20,47810.00,0.14,0.72
MC,18x58,457.00,107.00,15.90,386.00,17.80,,3.36,21.70,110.30,86.30,28137.00,1231.00,15.98,775.00,1550.00,741.00,87.20,2.59,81.00,131.00,163.00,2.19,1.77,,,,,,117.00,287333.00,25478.00,2.88,1.20
MC,"18x51,9",457.00,104.00,15.90,386.00,15.20,,3.28,25.30,98.71,77.20,26098.00,1142.00,16.28,709.00,1417.00,683.00,83.10,2.64,75.00,125.00,150.00,2.18,2.02,,,,,,84.50,264776.00,22071.00,4.76,1.07
MC,"18x45,8",457.00,102.00,15.90,386.00,12.70,,3.20,30.40,87.10,68.20,24058.00,1054.00,16.66,642.00,1285.00,629.00,79.00,2.69,69.00,118.00,138.00,2.20,2.31,,,,,,60.40,240877.00,18993.00,7.84,0.94
MC,"18x42,7",457.00,100.00,15.90,386.00,11.40,,3.16,33.80,81.29,63.50,23059.00,1009.00,16.87,610.00,1219.00,599.00,76.90,2.72,66.00,115.00,133.00,2.23,2.46,,,,,,51.20,228793.00,17641.00,9.96,0.88
MC,13x50,330.00,112.00,15.50,260.00,20.00,,3.62,13.00,94.84,74.40,13070.00,793.00,11.73,496.00,991.00,687.00,78.50,2.69,83.00,118.00,166.00,2.47,2.07,,,,,,124.00,149843.00,37747.00,0.60,1.43
MC,13x40,330.00,106.00,15.50,260.00,14.20,,3.43,18.30,76.13,59.50,11363.00,688.00,12.24,417.00,834.00,570.00,69.80,2.74,70.00,105.00,140.00,2.45,2.62,,,,,,65.30,124332.00,28288.00,1.62,1.14
MC,13x35,330.00,103.00,15.50,260.00,11.40,,3.34,22.90,66.45,52.10,10489.00,636.00,12.57,379.00,757.00,512.00,65.40,2.79,65.00,98.00,130.00,2.49,2.95,,,,,,47.50,110905.00,24378.00,2.61,1.00
MC,"13x31,8",330.00,102.00,15.50,260.00,9.53,,3.28,27.30,60.32,47.30,9948.00,603.00,12.85,353.00,706.00,475.00,62.40,2.82,62.00,94.00,125.00,2.54,3.15,,,,,,39.10,102044.00,22237.00,3.43,0.91
MC,12x50,305.00,105.00,17.80,238.00,21.20,,2.95,11.20,94.84,74.40,11197.00,736.00,10.87,460.00,919.00,724.00,92.60,2.77,84.00,139.00,167.00,2.67,1.88,,,,,,135.00,110368.00,42427.00,0.30,1.55
MC,12x45,305.00,102.00,17.80,238.00,18.10,,2.87,13.20,85.16,67.00,10489.00,688.00,11.07,424.00,847.00,658.00,87.30,2.77,77.00,131.00,153.00,2.64,2.14,,,,,,97.80,100432.00,36604.00,0.51,1.39
MC,12x40,305.00,98.80,17.80,238.00,15.00,,2.78,15.90,76.13,59.50,9740.00,639.00,11.33,388.00,775.00,595.00,81.90,2.79,70.00,123.00,141.00,2.64,2.42,,,,,,70.80,90228.00,31700.00,0.83,1.24
MC,12x35,305.00,95.70,17.80,238.00,11.90,,2.69,20.10,66.45,52.10,8991.00,592.00,11.66,351.00,701.00,529.00,76.50,2.82,65.00,115.00,130.00,2.67,2.72,,,,,,52.00,79755.00,27436.00,1.31,1.08
MC,12x31,305.00,93.20,17.80,238.00,9.40,,2.62,25.30,58.84,46.10,8449.00,554.00,11.96,322.00,644.00,470.00,71.90,2.84,61.00,108.00,122.00,2.74,3.00,,,,,,42.00,71968.00,24786.00,1.78,1.06
MC,"12x10,6",305.00,38.10,7.80,270.00,4.83,,2.43,55.90,20.00,15.80,2306.00,151.00,10.72,95.00,190.00,15.90,5.08,0.89,5.20,7.60,10.50,0.68,0.72,,,,,,2.50,3142.00,12898.00,48.60,0.33
MC,"10x41,1",254.00,110.00,14.60,191.00,20.20,,3.76,9.42,78.06,61.20,6576.00,516.00,9.17,319.00,637.00,658.00,80.00,2.90,71.00,120.00,143.00,2.77,2.19,,,,,,94.50,72505.00,45925.00,0.22,1.53
MC,"10x33,6",254.00,104.00,14.60,191.00,14.60,,3.57,13.00,63.68,50.00,5786.00,456.00,9.53,274.00,547.00,549.00,71.80,2.95,62.00,108.00,123.00,2.74,2.69,,,,,,50.40,60152.00,34313.00,0.60,1.24
MC,"10x28,5",254.00,100.00,14.60,191.00,10.80,,3.43,17.60,54.00,42.40,5286.00,415.00,9.88,243.00,485.00,475.00,65.90,2.97,56.00,99.00,112.00,2.84,3.07,,,,,,32.90,52096.00,28055.00,1.17,1.05
MC,10x25,254.00,86.50,14.60,191.00,9.65,,2.96,19.70,47.42,37.20,4579.00,361.00,9.83,211.00,423.00,306.00,49.20,2.54,43.00,74.00,85.00,2.42,2.62,,,,,,26.60,33567.00,27213.00,1.35,0.92
MC,10x22,254.00,84.20,14.60,191.00,7.37,,2.88,25.90,41.61,32.70,4287.00,336.00,10.13,193.00,387.00,271.00,45.90,2.54,40.00,69.00,80.00,2.51,2.87,,,,,,21.20,29807.00,24421.00,1.85,1.19
MC,"10x8,4",254.00,38.10,7.11,219.00,4.32,,2.68,50.70,15.87,12.50,1332.00,105.00,9.17,64.40,129.00,13.70,4.42,0.93,4.50,6.60,9.00,0.72,0.84,,,,,,1.66,1882.00,13529.00,36.70,0.31
MC,"9x25,4",229.00,88.90,13.97,168.00,11.43,,3.18,14.70,48.19,37.80,3663.00,321.00,8.71,190.00,380.00,318.00,49.49,2.57,43.00,74.00,86.00,2.46,2.50,,,,,,28.70,27928.00,31973.00,0.74,1.04
MC,"9x23,9",229.00,87.60,13.97,168.00,10.16,,3.14,16.60,45.29,35.57,3538.00,310.00,8.84,182.00,364.00,301.00,48.01,2.57,41.00,72.00,83.00,2.49,2.64,,,,,,25.00,26370.00,29974.00,0.91,0.98
MC,"8x22,8",203.00,89.00,13.34,146.00,10.85,,3.34,13.50,43.23,33.93,2656.00,262.00,7.85,154.00,308.00,294.00,46.54,2.62,40.00,70.00,80.00,2.57,2.64,,,,,,23.70,20221.00,33714.00,0.56,1.05
MC,"8x21,4",203.00,87.60,13.34,146.00,9525.00,,3.29,15.30,40.52,31.85,2564.00,252.00,7.95,147.00,295.00,276.00,44.90,2.62,39.00,67.00,77.00,2.59,2.77,,,,,,20.80,19039.00,31762.00,0.68,1.14
MC,8x20,203.00,76.80,12.70,143.00,10.16,,3.03,14.10,37.94,29.76,2268.00,223.00,7.75,133.00,265.00,186.00,33.59,2.21,29.00,50.00,59.00,2.13,2.14,,,,,,18.30,12863.00,32646.00,0.69,0.92
MC,"8x18,7",203.00,75.60,12.70,143.00,8966.00,,2.98,15.90,35.48,27.83,2185.00,215.00,7.85,126.00,252.00,175.00,32.28,2.22,28.00,48.00,56.00,2.16,2.26,,,,,,15.80,12111.00,30462.00,0.86,0.87
MC,"8x8,5",203.00,47.60,7899.00,165.00,4547.00,,3.01,36.30,16.13,12.65,970.00,96.00,7.75,56.60,113.00,26.10,7112.00,1.27,7.20,11.00,14.00,1.09,1.38,,,,,,2.50,2207.00,18337.00,8.29,0.39
MC,"7x22,7",178.00,91.50,12.70,121.00,12.78,,3.60,9.45,43.03,33.78,1977.00,223.00,6.78,133.00,265.00,303.00,46.70,2.67,40.00,70.00,80.00,2.64,2.57,,,,,,26.20,15709.00,41606.00,0.25,1.20
MC,"7x19,1",178.00,87.70,12.70,121.00,8941.00,,3.45,13.50,36.19,28.42,1798.00,202.00,7.04,117.00,234.00,254.00,42.11,2.64,36.00,63.00,71.00,2.74,2.92,,,,,,17.10,13266.00,34035.00,0.49,1.44
MC,6x18,152.00,89.00,12.07,98.40,9627.00,,3.69,10.20,34.13,26.79,1236.00,162.00,6.02,94.20,188.00,247.00,40.64,2.69,34.00,61.00,68.00,2.84,2.97,,,,,,15.80,9291.00,39492.00,0.27,1.58
MC,"6x16,3",152.00,76.20,12.07,98.40,9525.00,,3.16,10.30,30.90,24.26,1082.00,142.00,5.92,83.60,167.00,159.00,30.15,2.27,26.00,45.00,52.00,2.35,2.36,,,,,,14.20,5935.00,40583.00,0.25,1.18
MC,"6x15,1",152.00,74.70,12.07,98.40,8026.00,,3.10,12.30,28.65,22.47,1041.00,136.00,6.02,79.40,159.00,146.00,28.68,2.26,25.00,43.00,49.00,2.39,2.49,,,,,,12.10,5532.00,37647.00,0.32,1.36
MC,6x12,152.00,63.40,9525.00,111.00,7874.00,,3.33,14.10,22.77,17.86,778.00,102.00,5.84,60.50,121.00,77.80,17.04,1.85,15.00,26.00,29.00,1.79,1.84,,,,,,6.24,3008.00,32189.00,0.70,0.74
